ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
sionastd,Siona-std,sion1247,,,,
qawasqarstd,Qawasqar-std,qawa1238,,,,
didosagadinsagadin,Dido (Sagadin)-Sagadin,dido1241,,,,
dargwakajtakkajtak,Dargwa (Kajtak)-Kajtak,darg1241,,,,
estonianstd,Estonian-std,esto1258,,,,
armenianeasterneastern,Armenian (Eastern)-Eastern,nucl1235,,,,
avarbatlukhbatlukh,Avar (Batlukh)-Batlukh,avar1256,,,,
chamalalstd,Chamalal-std,cham1309,,,,
marquesannorthstd,"Marquesan, North-std",nort2845,,,,
swahilistd,Swahili-std,swah1253,,,,
tsimshianstd,Tsimshian-std,nucl1649,,,,
gurinjistd,Gurinji-std,guri1247,,,,
lezgikubakuba,Lezgi (Kuba)-Kuba,lezg1247,,,,
ghodoberistd,Ghodoberi-std,ghod1238,,,,
tsimanestd,Tsimané-std,mose1249,,,,
tonganstd,Tongan-std,tong1325,,,,
coloradostd,Colorado-std,colo1256,,,,
emberanorthernstd,"Emberá, Northern-std",nort2972,,,,
tsakhurstd,Tsakhur-std,tsak1249,,,,
maoristd,Maori-std,maor1246,,,,
avarhidhid,Avar (Hid)-Hid,avar1256,,,,
avarkarakhkarakh,Avar (Karakh)-Karakh,avar1256,,,,
yanomamistd,Yanomámi-std,yano1262,,,,
itonamastd,Itonama-std,iton1250,,,,
greekstd,Greek-std,mode1248,,,,
azerbaijaninorthterekemeterekeme,"Azerbaijani, North (Terekeme)-Terekeme",nort2697,,,,
russianstd,Russian-std,russ1263,,,,
tindistd,Tindi-std,tind1238,,,,
otomimezquitalstd,"Otomi, Mezquital-std",mezq1235,,,,
didomokokmokok,Dido (Mokok)-Mokok,dido1241,,,,
archivar2var2,Archi (Var2)-Var2,arch1244,,,,
germanstandardstd,"German, Standard-std",stan1295,,,,
kilivilastd,Kilivila-std,kili1267,,,,
mapudungunstd,Mapudungun-std,mapu1245,,,,
catalanvalencianbalearstd,Catalan-Valencian-Balear-std,stan1289,,,,
venetianstd,Venetian-std,vene1258,,,,
karatastd,Karata-std,kara1474,,,,
lezgistd,Lezgi-std,lezg1247,,,,
swedishstd,Swedish-std,swed1254,,,,
miaowhitestd,"Miao, White-std",hmon1333,,,,
nogaistd,Nogai-std,noga1249,,,,
yaviterostd,Yavitero-std,yavi1244,,,,
finnishstd,Finnish-std,finn1318,,,,
japanesestd,Japanese-std,nucl1643,,,,
hinukhstd,Hinukh-std,hinu1240,,,,
avarstandardstandard,Avar (Standard)-Standard,avar1256,,,,
haidanorthernnorthernnorthern,"Haida, Northern (Northern)-Northern",nort2938,,,,
cashibocacataibostd,Cashibo-Cacataibo-std,cash1251,,,,
onastd,Ona-std,onaa1245,,,,
yaguastd,Yagua-std,yagu1244,,,,
trumaistd,Trumai-std,trum1247,,,,
chinesemandarinstd,"Chinese, Mandarin-std",mand1415,,,,
dargwamuirimuiri,Dargwa (Muiri)-Muiri,darg1241,,,,
puinavestd,Puinave-std,puin1248,,,,
ignacianostd,Ignaciano-std,igna1246,,,,
hupdestd,Hupdë-std,hupd1244,,,,
guaranieasternbolivianstd,"Guaraní, Eastern Bolivian-std",east2555,,,,
sorbianlowerstd,"Sorbian, Lower-std",lowe1385,,,,
chechenakkinakkin,Chechen (Akkin)-Akkin,chec1245,,,,
cayubabastd,Cayubaba-std,cayu1262,,,,
danishstd,Danish-std,dani1285,,,,
khantystd,Khanty-std,khan1273,,,,
hindistd,Hindi-std,hind1269,,,,
andimunimuni,Andi (Muni)-Muni,andi1255,,,,
khvarshiinxokvariinxokvari,Khvarshi (Inxokvari)-Inxokvari,khva1239,,,,
yiddisheasternstd,"Yiddish, Eastern-std",east2295,,,,
katukinapanoanstd,"Katukína, Panoan-std",pano1254,,,,
chacobostd,Chácobo-std,chac1251,,,,
avarantsukhantsukh,Avar (Antsukh)-Antsukh,avar1256,,,,
budukhstd,Budukh-std,budu1248,,,,
negerhollandsstd,Negerhollands-std,nege1244,,,,
selkupstd,Selkup-std,selk1253,,,,
chechenstd,Chechen-std,chec1245,,,,
qeqchistd,Q’eqchi’-std,kekc1242,,,,
lezgimikrakhmikrakh,Lezgi (Mikrakh)-Mikrakh,lezg1247,,,,
ayoreostd,Ayoreo-std,ayor1240,,,,
tlingitstd,Tlingit-std,tlin1245,,,,
puelchestd,Puelche-std,puel1244,,,,
aymaracentralstd,"Aymara, Central-std",cent2142,,,,
tuamotuanstd,Tuamotuan-std,tuam1242,,,,
hausastd,Hausa-std,haus1257,,,,
ketstd,Ket-std,kett1243,,,,
sardinianlogudoresestd,"Sardinian, Logudorese-std",logu1236,,,,
khasistd,Khasi-std,khas1269,,,,
karatatokitintokitin,Karata (Tokitin)-Tokitin,kara1474,,,,
kumykstd,Kumyk-std,kumy1244,,,,
nenetsstd,Nenets-std,nene1249,,,,
kunzastd,Kunza-std,kunz1244,,,,
saramaccanstd,Saramaccan-std,sara1340,,,,
rutulstd,Rutul-std,rutu1240,,,,
oroqenstd,Oroqen-std,oroq1238,,,,
welshstd,Welsh-std,wels1247,,,,
araonastd,Araona-std,arao1248,,,,
malagasyplateaustd,"Malagasy, Plateau-std",plat1254,,,,
esehuarayohuarayo,Ese (Huarayo)-Huarayo,esee1247,,,,
waurastd,Waurá-std,waur1244,,,,
achestd,Aché-std,ache1246,,,,
chatinozacatepecstd,"Chatino, Zacatepec-std",zaca1242,,,,
lakstd,Lak-std,lakk1252,,,,
caribstd,Carib-std,gali1262,,,,
telugustd,Telugu-std,telu1262,,,,
tuyucastd,Tuyuca-std,tuyu1244,,,,
epenastd,Epena-std,epen1239,,,,
nivaclestd,Nivaclé-std,niva1238,,,,
portuguesestd,Portuguese-std,port1283,,,,
hunzibstd,Hunzib-std,hunz1247,,,,
avarkusurkusur,Avar (Kusur)-Kusur,avar1256,,,,
rapastd,Rapa-std,rapa1245,,,,
tarifitstd,Tarifit-std,tari1263,,,,
farsiwesternstd,"Farsi, Western-std",west2369,,,,
takiastd,Takia-std,taki1248,,,,
wapishanastd,Wapishana-std,wapi1253,,,,
andistd,Andi-std,andi1255,,,,
marathistd,Marathi-std,mara1378,,,,
makastd,Maka-std,maca1260,,,,
tabassarannorthernnorthern,Tabassaran (Northern)-Northern,taba1259,,,,
tabassaransouthernsouthern,Tabassaran (Southern)-Southern,taba1259,,,,
mansistd,Mansi-std,mans1258,,,,
kaingangstd,Kaingang-std,kain1272,,,,
romagnolstd,Romagnol-std,roma1328,,,,
mocovistd,Mocoví-std,moco1246,,,,
pumestd,Pumé-std,pume1238,,,,
wichilhamtesguisnaystd,Wichí Lhamtés Güisnay-std,wich1264,,,,
yuwanastd,Yuwana-std,yuwa1244,,,,
bagvalalstd,Bagvalal-std,bagv1239,,,,
erzyastd,Erzya-std,erzy1239,,,,
enapaworomaipustd,E’ñapa Woromaipu-std,enap1235,,,,
komizyrianstd,Komi-Zyrian-std,komi1268,,,,
dargwaitsariitsari,Dargwa (Itsari)-Itsari,darg1241,,,,
udmurtstd,Udmurt-std,udmu1245,,,,
italianstd,Italian-std,ital1282,,,,
botlikhstd,Botlikh-std,botl1242,,,,
englishstd,English-std,stan1293,,,,
armenianwesternwestern,Armenian (Western)-Western,nucl1235,,,,
cavinenastd,Cavineña-std,cavi1250,,,,
wayuustd,Wayuu-std,wayu1243,,,,
ninamstd,Ninam-std,nina1238,,,,
esestd,Ese-std,esee1247,,,,
punjabistd,Punjabi-std,west2386,,,,
trinitariostd,Trinitario-std,trin1274,,,,
seselwacreolefrenchstd,Seselwa Creole French-std,sese1246,,,,
yaminahuastd,Yaminahua-std,yami1256,,,,
zunistd,Zuni-std,zuni1245,,,,
polishstd,Polish-std,poli1260,,,,
ghulfanstd,Ghulfan-std,ghul1238,,,,
aghulstd,Aghul-std,aghu1253,,,,
latinstd,Latin-std,lati1261,,,,
saamikildinstd,"Saami, Kildin-std",kild1236,,,,
bezhtastd,Bezhta-std,bezh1248,,,,
kanuricentralstd,"Kanuri, Central-std",cent2050,,,,
tamilstd,Tamil-std,tami1289,,,,
choroteiyojwajastd,"Chorote, Iyojwa’ja-std",iyoj1235,,,,
dargwakubachikubachi,Dargwa (Kubachi)-Kubachi,darg1241,,,,
tacanastd,Tacana-std,taca1256,,,,
latvianstd,Latvian-std,latv1249,,,,
akhvakhnorthernnorthern,Akhvakh (Northern)-Northern,akhv1239,,,,
waiwaistd,Waiwai-std,waiw1244,,,,
chachistd,Chachi-std,chac1249,,,,
marimeadowstd,"Mari, Meadow-std",east2328,,,,
paezstd,Páez-std,paez1247,,,,
tobastd,Toba-std,toba1269,,,,
yaquistd,Yaqui-std,yaqu1251,,,,
basquestd,Basque-std,basq1248,,,,
dutchstd,Dutch-std,dutc1256,,,,
vietnamesestd,Vietnamese-std,viet1252,,,,
thaistd,Thai-std,thai1261,,,,
nahuatlhighlandpueblastd,"Nahuatl, Highland Puebla-std",high1278,,,,
frenchstd,French-std,stan1290,,,,
cofanstd,Cofán-std,cofa1242,,,,
chipayastd,Chipaya-std,chip1262,,,,
lenguastd,Lengua-std,leng1262,,,,
yamanastd,Yámana-std,yama1264,,,,
galicianstd,Galician-std,gali1258,,,,
albaniantoskstd,"Albanian, Tosk-std",tosk1239,,,,
waoranistd,Waorani-std,waor1240,,,,
shipiboconibostd,Shipibo-Conibo-std,ship1254,,,,
movimastd,Movima-std,movi1243,,,,
macushistd,Macushi-std,macu1259,,,,
tehuelchestd,Tehuelche-std,tehu1242,,,,
akhvakhsouthernsouthern,Akhvakh (Southern)-Southern,akhv1239,,,,
avarzakatalyzakataly,Avar (Zakataly)-Zakataly,avar1256,,,,
azerbaijanisouthstd,"Azerbaijani, South-std",sout2697,,,,
khvarshikhvarshikhvarshi,Khvarshi (Khvarshi)-Khvarshi,khva1239,,,,
romanivlaxstd,"Romani, Vlax-std",vlax1238,,,,
archivar1var1,Archi (Var1)-Var1,arch1244,,,,
sanapanastandardstandard,Sanapaná (Standard)-Standard,sana1281,,,,
lithuanianstd,Lithuanian-std,lith1251,,,,
udistd,Udi-std,udii1243,,,,
rotumanstd,Rotuman-std,rotu1241,,,,
polcistd,Polci-std,polc1243,,,,
manangbastd,Manangba-std,mana1288,,,,
dargwastandardstandard,Dargwa (Standard)-Standard,darg1241,,,,
bretonstd,Breton-std,bret1244,,,,
aguarunastd,Aguaruna-std,agua1253,,,,
sirionostd,Sirionó-std,siri1273,,,,
archistd,Archi-std,arch1244,,,,
hawaiianstd,Hawaiian-std,hawa1245,,,,
gawwadastd,Gawwada-std,gaww1239,,,,
cheqwongstd,Cheq Wong-std,chew1245,,,,
