ID,Name,Concepticon_ID,Concepticon_Gloss
earthland,"earth, land",626,LAND
earthgroundsoil,"earth=ground, soil",1228,EARTH (SOIL)
dust,dust,2,DUST
mud,mud,640,MUD
sand,sand,671,SAND
mountainhill,"mountain, hill",2118,MOUNTAIN OR HILL
cliffprecipice,"cliff, precipice",618,PRECIPICE
plainfield,"plain, field",652,PLAIN
island,island,622,ISLAND
shore,shore,113,SHORE
water,water,948,WATER
foam,foam,1768,FOAM
lake,lake,624,LAKE
gulfbay,"gulf, bay",663,BAY
lagoon,lagoon,623,LAGOON
wave,wave,978,WAVE
riverstreambrook,"river, stream, brook",666,RIVER
whirlpool,whirlpool,1982,WHIRLPOOL
springwell,"spring, well",2144,SPRING OR WELL
swamp,swamp,1145,SWAMP
woodsforest,"woods, forest",420,FOREST
wood,wood,1803,WOOD
stonerock,"stone, rock",2125,STONE OR ROCK
earthquake,earthquake,6,EARTHQUAKE
sky,sky,1732,SKY
sun,sun,1343,SUN
moon,moon,1313,MOON
star,star,1430,STAR
lightning,lightning,1654,LIGHTNING
thunder,thunder,1150,THUNDER
rainbow,rainbow,1733,RAINBOW
lightnoun,light (noun),630,LIGHT (RADIATION)
darkness,darkness,11,DARKNESS
shadeshadow,"shade, shadow",1388,SHADE
air,air,27,AIR
wind,wind,960,WIND
cloud,cloud,1489,CLOUD
rainnoun,rain (noun),658,RAIN (PRECIPITATION)
fire,fire,221,FIRE
smokenoun,smoke (noun),778,SMOKE (EXHAUST)
ashes,ashes,646,ASH
embers,embers,67,EMBERS
burnvbtrans,burn (vb trans),141,BURN (SOMETHING)
burnvbintrans,burn (vb intrans),1428,BURNING
lightkindleignite,"light, kindle, ignite",737,LIGHT (IGNITE)
extinguish,extinguish,127,EXTINGUISH
matchnoun,match (noun),1133,MATCH
firewood,firewood,10,FIREWOOD
charcoal,charcoal,1188,CHARCOAL
personhumanbeing,"person, human being",683,PERSON
manvswoman,man (vs. woman),1554,MAN
woman,woman,962,WOMAN
male,male,1553,MALE
female,female,1551,FEMALE
boy,boy,1366,BOY
youngmanadolescent,young man (adolescent),76,YOUNG MAN
girl,girl,1646,GIRL
youngwomanadolescent,young woman (adolescent),77,YOUNG WOMAN
child,child,1304,CHILD (YOUNG HUMAN)
husband,husband,1200,HUSBAND
wife,wife,1199,WIFE
marry,marry,203,MARRY
father,father,1217,FATHER
mother,mother,1216,MOTHER
son,son,1620,SON
daughter,daughter,1357,DAUGHTER
offspringsonordaughter,offspring (son or daughter),1801,CHILD (DESCENDANT)
olderbrother,older brother,1759,OLDER BROTHER
youngerbrother,younger brother,1760,YOUNGER BROTHER
oldersister,older sister,1758,OLDER SISTER
youngersister,younger sister,1761,YOUNGER SISTER
grandfather,grandfather,1383,GRANDFATHER
oldman,old man,406,OLD MAN
grandmother,grandmother,1496,GRANDMOTHER
oldwoman,old woman,907,OLD WOMAN
grandson,grandson,1618,GRANDSON
granddaughter,granddaughter,1619,GRANDDAUGHTER
uncle,uncle,1327,UNCLE
fathersbrother,father's brother,1985,FATHER'S BROTHER
aunt,aunt,1272,AUNT
motherssister,mother's sister,171,MOTHER'S SISTER
nephew,nephew,1063,NEPHEW
niece,niece,1642,NIECE
cousin,cousin,1643,COUSIN
ancestors,ancestors,1669,ANCESTORS
descendants,descendants,490,DESCENDANTS
stepfather,stepfather,237,STEPFATHER
stepmother,stepmother,236,STEPMOTHER
orphan,orphan,1149,ORPHAN
widow,widow,1756,WIDOW
widower,widower,1981,WIDOWER
i,I,1209,I
yousingular,you (singular),1215,THOU
hesheit,he/she/it,262,HE OR SHE OR IT
weinclusive,we (inclusive),1131,WE (INCLUSIVE)
weexclusive,we (exclusive),1130,WE (EXCLUSIVE)
youplural,you (plural),1213,YOU
they,they,817,THEY
animal,animal,619,ANIMAL
pasture,pasture,649,PASTURE
pig,pig,1337,PIG
fowl,fowl,265,FOWL
cockrooster,"cock, rooster",1511,ROOSTER
hen,hen,1514,HEN
chicken,chicken,1318,CHICKEN
duck,duck,1360,DUCK
nest,nest,539,NEST
bird,bird,937,BIRD
heron,heron,758,HERON
hawk,hawk,307,HAWK
vulture,vulture,1185,VULTURE
bat,bat,1793,BAT
parrot,parrot,882,PARROT
dove,dove,1853,DOVE
owl,owl,735,OWL
dog,dog,2009,DOG
rabbit,rabbit,1136,RABBIT
cat,cat,1208,CAT
opossum,opossum,309,OPOSSUM
mouserat,"mouse, rat",2139,MUROID (MOUSE OR RAT)
fish,fish,227,FISH
fishscale,fishscale,266,SCALE
gill,gill,1916,GILL
shell,shell,598,SHELL
porpoisedolphin,"porpoise, dolphin",1479,DOLPHIN
stingray,stingray,1910,STINGRAY
wolf,wolf,522,WOLF
lion,lion,1386,LION
fox,fox,1312,FOX
deer,deer,1936,DEER
monkey,monkey,1350,MONKEY
louse,louse,1392,LOUSE
flea,flea,232,FLEA
scorpion,scorpion,1538,SCORPION
cockroach,cockroach,1575,COCKROACH
ant,ant,587,ANT
spider,spider,843,SPIDER
bee,bee,665,BEE
beeswax,beeswax,1931,BEESWAX
beehive,beehive,88,BEEHIVE
wasp,wasp,1517,WASP
fly,fly,1504,FLY (INSECT)
sandflymidgegnat,"sandfly (midge), gnat",95,SANDFLY
mosquito,mosquito,1509,MOSQUITO
worm,worm,1219,WORM
snake,snake,730,SNAKE
butterfly,butterfly,1791,BUTTERFLY
snail,snail,1543,SNAIL
frog,frog,503,FROG
lizard,lizard,632,LIZARD
crocodilealligator,"crocodile, alligator",1857,CROCODILE
turtle,turtle,112,TURTLE
body,body,1480,BODY
skinhide,"skin, hide",763,SKIN
flesh,flesh,2259,FLESH
hairhead,hair (head),2648,HAIR (HEAD)
beard,beard,678,BEARD
bodyhair,body hair,189,HAIR (BODY)
blood,blood,946,BLOOD
veinartery,"vein, artery",525,BLOOD VESSEL
bone,bone,1394,BONE
rib,rib,801,RIB
tail,tail,1220,TAIL
back,back,1291,BACK
head,head,1256,HEAD
skull,skull,1605,SKULL
brain,brain,1583,BRAIN
face,face,1560,FACE
forehead,forehead,123,FOREHEAD
jaw,jaw,798,JAW
cheek,cheek,1730,CHEEK
eye,eye,1248,EYE
eyebrow,eyebrow,1173,EYEBROW
eyelash,eyelash,1540,EYELASH
ear,ear,1247,EAR
earwax,earwax,32,EARWAX
nose,nose,1221,NOSE
nostril,nostril,1178,NOSTRIL
mucusnasal,mucus (nasal),208,NASAL MUCUS (SNOT)
mouth,mouth,674,MOUTH
beak,beak,73,BEAK
lip,lip,478,LIP
tongue,tongue,1205,TONGUE
tooth,tooth,1380,TOOTH
molartooth,molartooth,1049,MOLAR TOOTH
neck,neck,1333,NECK
napeofneck,nape of neck,1347,NAPE (OF NECK)
shoulder,shoulder,1482,SHOULDER
arm,arm,1673,ARM
armpit,armpit,1886,ARMPIT
elbow,elbow,981,ELBOW
hand,hand,1277,HAND
palmofhand,palm of hand,1183,PALM OF HAND
finger,finger,1303,FINGER
fingernail,fingernail,1258,FINGERNAIL
claw,claw,72,CLAW
leg,leg,1297,LEG
thigh,thigh,800,THIGH
knee,knee,1371,KNEE
foot,foot,1301,FOOT
ankle,ankle,803,ANKLE
heel,heel,980,HEEL
wing,wing,1257,WING
chest,chest,1592,CHEST
breastofwoman,breast (of woman),1402,BREAST
nippleteat,"nipple, teat",796,NIPPLE
navel,navel,1838,NAVEL
heart,heart,1223,HEART
liver,liver,1224,LIVER
stomach,stomach,819,STOMACH
intestinesguts,"intestines, guts",1991,INTESTINES
waist,waist,1681,WAIST
hip,hip,1745,HIP
buttocks,buttocks,834,BUTTOCKS
testicle,testicle,797,TESTICLES
penis,penis,1222,PENIS
breathebreath,"breathe, breath",1407,BREATHE
yawngape,"yawn, gape",1028,YAWN
cough,cough,879,COUGH
sneeze,sneeze,1621,SNEEZE
perspire,perspire,126,SWEAT (PERSPIRE)
spit,spit,1440,SPIT
vomit,vomit,1278,VOMIT
bite,bite,1403,BITE
lick,lick,319,LICK
sleep,sleep,1585,SLEEP
snore,snore,1983,SNORE
dream,dream,1920,DREAM (SOMETHING)
wakeup,wake up,1602,WAKE UP
urinate,urinate,592,PISS
defecate,defecate,676,SHIT (DEFECATE)
shiver,shiver,52,SHIVER
bathe,bathe,138,BATHE
begetoffather,beget (of father),1152,BEGET
pregnant,pregnant,1123,PREGNANT
conceive,conceive,1087,CONCEIVE
livelivinglife,"live, living, life",1422,BE ALIVE
diedead,"die, dead",1494,DIE
drowned,drowned,1904,DROWN
kill,kill,1417,KILL
corpse,corpse,767,CORPSE
burythedead,bury (the dead),1719,BURY
gravetomb,"grave, tomb",1773,GRAVE
strongmightypowerful,"strong, mighty, powerful",785,STRONG
weak,weak,1601,WEAK
sicksickness,"sick, sickness",1847,SICK
fever,fever,1534,FEVER
woundsore,"wound, sore",1109,WOUND
swelling,swelling,1903,SWELLING
itch,itch,148,ITCH
blister,blister,1584,BLISTER
boilnoun,boil (noun),793,BOIL (OF SKIN)
cureheal,"cure, heal",499,CURE
